Trat,Altura ,Hojas,Dm,Long,Pesomazorca,,,,,,,
Control,49,8,1.500,15.5,168.7,,,,,,,
Control,50,9,1.930,12.5,111.4,,,,,,,
CaCO3,49,9,2.000,8,13,,,,,,,
CaCO3,43,9,1.438,15.5,250.2,,,,,,,
CaCO3,56,12,1.715,15,197.8,,,,,,,
Control,29,9,1.550,20,263.2,,,,,,,
Control,70,12,1.995,18,221.3,,,,,,,
Control,0,0,0.000,16.5,132.9,,,,,,,
Dolomita,54,11,2.110,15.5,116,,,,,,,
Dolomita,50,8,1.450,16,178.2,,,,,,,
Dolomita,50,9,1.585,15.5,143.5,,,,,,,
MgO,50,10,1.808,13.5,108.9,,,,,,,
MgO,43,11,1.925,13.5,158.7,,,,,,,
MgO,59,12,1.700,16,141.5,,,,,,,
Control,28,7,0.970,11,120.3,,,,,,,
Control,45,9,1.500,14,157.8,,,,,,,
Control,30,7,1.165,12,184.5,,,,,,,
MgO,40,9,1.435,17,182.1,,,,,,,
MgO,66,9,1.560,11.5,112.3,,,,,,,
MgO,52,8,1.510,14,179.9,,,,,,,
CaCO3,63,10,2.340,16.5,184.8,,,,,,,
CaCO3,54,9,1.685,5.5,28.5,,,,,,,
CaCO3,49,10,1.230,14,150.7,,,,,,,
Dolomita,49,9,1.878,17,180.6,,,,,,,
Dolomita,80,11,1.615,9,84.8,,,,,,,
Dolomita,70,9,1.658,14,200.7,,,,,,,
Dolomita,53,9,1.500,9,55.5,,,,,,,
Dolomita,98,11,1.600,17,164.6,,,,,,,
Dolomita,91,10,1.900,12,149.9,,,,,,,
CaCO3,94,10,1.640,18,219.8,,,,,,,
CaCO3,78,9,1.500,16.5,179.1,,,,,,,
CaCO3,76,9,1.450,14.5,189,,,,,,,
MgO,122.5,13,2.000,18.5,202.7,,,,,,,
MgO,110,10,1.700,18,172.4,,,,,,,
MgO,91,11,1.700,13,118.9,,,,,,,
Control,83,9,1.600,19,214.6,,,,,,,
Control,95.5,10,1.400,15.5,168.7,,,,,,,
Control,102.5,12,1.900,12.5,111.4,,,,,,,
CaCO3,81.5,10,1.800,8,13,,,,,,,
CaCO3,68,8,1.400,15.5,250.2,,,,,,,
CaCO3,84,11,1.900,15,197.8,,,,,,,
Control,43,10,1.300,20,263.2,,,,,,,
Control,0,0,0.000,18,221.3,,,,,,,
Control,108,11,1.800,16.5,132.9,,,,,,,
Dolomita,113,12,1.800,15.5,116,,,,,,,
Dolomita,67.5,9,1.300,16,178.2,,,,,,,
Dolomita,79.5,11,1.600,15.5,143.5,,,,,,,
MgO,78.5,10,1.650,13.5,108.9,,,,,,,
MgO,79.5,10,1.700,13.5,158.7,,,,,,,
MgO,79,10,1.650,16,141.5,,,,,,,
Control,47.4,8,1.150,11,120.3,,,,,,,
Control,61.5,11,1.400,14,157.8,,,,,,,
Control,36,9,1.100,12,184.5,,,,,,,
MgO,59.5,10,1.400,17,182.1,,,,,,,
MgO,88,10,1.600,11.5,112.3,,,,,,,
MgO,70.5,10,1.400,14,179.9,,,,,,,
CaCO3,92,12,1.900,16.5,184.8,,,,,,,
CaCO3,74,9,1.450,5.5,28.5,,,,,,,
CaCO3,66.5,9,1.150,14,150.7,,,,,,,
Dolomita,93,10,1.600,17,180.6,,,,,,,
Dolomita,99.5,9,1.400,9,84.8,,,,,,,
Dolomita,70,10,1.600,14,200.7,,,,,,,
Dolomita,90,14,1.640,9,55.5,,,,,,,
Dolomita,175,14,1.850,17,164.6,,,,,,,
Dolomita,165,12,2.000,12,149.9,,,,,,,
CaCO3,170,14,1.900,18,219.8,,,,,,,
CaCO3,170,14,1.300,16.5,179.1,,,,,,,
CaCO3,140,12,2.000,14.5,189,,,,,,,
MgO,200,16,2.130,18.5,202.7,,,,,,,
MgO,175,12,1.100,18,172.4,,,,,,,
MgO,120,15,1.800,13,118.9,,,,,,,
Control,140,11,1.750,19,214.6,,,,,,,
Control,155,14,1.500,15.5,168.7,,,,,,,
Control,165,13,2.300,12.5,111.4,,,,,,,
CaCO3,150,14,2.300,8,13,,,,,,,
CaCO3,110,10,1.450,15.5,250.2,,,,,,,
CaCO3,180,11,1.800,15,197.8,,,,,,,
Control,110,10,1.600,20,263.2,,,,,,,
Control,0,0,0.000,18,221.3,,,,,,,
Control,180,13,2.350,16.5,132.9,,,,,,,
Dolomita,190,15,2.330,15.5,116,,,,,,,
Dolomita,170,11,1.320,16,178.2,,,,,,,
Dolomita,160,14,1.450,15.5,143.5,,,,,,,
MgO,145,14,2.200,13.5,108.9,,,,,,,
MgO,150,13,1.750,13.5,158.7,,,,,,,
MgO,140,15,1.630,16,141.5,,,,,,,
Control,55,9,1.500,11,120.3,,,,,,,
Control,105,11,1.200,14,157.8,,,,,,,
Control,90,7,1.050,12,184.5,,,,,,,
MgO,100,8,1.250,17,182.1,,,,,,,
MgO,150,12,1.570,11.5,112.3,,,,,,,
MgO,110,11,1.270,14,179.9,,,,,,,
CaCO3,170,13,1.150,16.5,184.8,,,,,,,
CaCO3,130,11,1.310,5.5,28.5,,,,,,,
CaCO3,115,10,1.150,14,150.7,,,,,,,
Dolomita,100,12,1.250,17,180.6,,,,,,,
Dolomita,110,12,1.200,9,84.8,,,,,,,
Dolomita,125,13,1.350,14,200.7,,,,,,,
Dolomita,95,10,1.370,9,55.5,,,,,,,
Dolomita,180,11,1.645,17,164.6,,,,,,,
Dolomita,168,13,2.255,12,149.9,,,,,,,
CaCO3,175,13,1.824,18,219.8,,,,,,,
CaCO3,176,13,2.040,16.5,179.1,,,,,,,
CaCO3,152,13,1.865,14.5,189,,,,,,,
MgO,208,14,2.373,18.5,202.7,,,,,,,
MgO,179,11,1.900,18,172.4,,,,,,,
MgO,125,14,1.965,13,118.9,,,,,,,
Control,147,11,2.200,19,214.6,,,,,,,
Control,160,11,1.500,15.5,168.7,,,,,,,
Control,169,12,2.041,12.5,111.4,,,,,,,
CaCO3,161,11,2.040,8,13,,,,,,,
CaCO3,117,13,1.220,15.5,250.2,,,,,,,
CaCO3,186,14,2.200,15,197.8,,,,,,,
Control,121,10,2.031,20,263.2,,,,,,,
Control,0,0,0.000,18,221.3,,,,,,,
Control,195,13,1.995,16.5,132.9,,,,,,,
Dolomita,210,15,2.565,15.5,116,,,,,,,
Dolomita,180,12,1.770,16,178.2,,,,,,,
Dolomita,172,13,1.625,15.5,143.5,,,,,,,
MgO,158,12,2.093,13.5,108.9,,,,,,,
MgO,165,13,1.910,13.5,158.7,,,,,,,
MgO,170,14,1.825,16,141.5,,,,,,,
Control,68,12,1.430,11,120.3,,,,,,,
Control,112,12,1.710,14,157.8,,,,,,,
Control,110,10,1.335,12,184.5,,,,,,,
MgO,130,12,1.497,17,182.1,,,,,,,
MgO,165,13,1.825,11.5,112.3,,,,,,,
MgO,124,14,1.700,14,179.9,,,,,,,
CaCO3,145,12,1.500,16.5,184.8,,,,,,,
CaCO3,145,12,1.715,5.5,28.5,,,,,,,
CaCO3,134,12,1.320,14,150.7,,,,,,,
Dolomita,125,14,2.030,17,180.6,,,,,,,
Dolomita,130,13,1.720,9,84.8,,,,,,,
Dolomita,145,11,1.790,14,200.7,,,,,,,
